arm,family,type,format,size_gb,decode_tok_s@128,ttft_s@128,ttft_s@16384,weights_gib,kv_tokens
qwen3_6_27b__bf16,Qwen3.6-27B,dense,bf16,55.6,26.67,0.0634,3.9499,,
qwen3_6_27b__fp8,Qwen3.6-27B,dense,fp8,30.9,48.77,0.0742,2.5634,,
qwen3_6_27b__int4_awq,Qwen3.6-27B,dense,int4_awq,21.9,69.02,0.0643,3.9695,,
qwen3_6_27b__nvfp4,Qwen3.6-27B,dense,nvfp4,26.4,55.55,0.108,1.9411,,
gemma4_31b_it__bf16,Gemma-4-31B-it,dense,bf16,62.6,22.27,0.0519,0.0865,,
gemma4_31b_it__fp8,Gemma-4-31B-it,dense,fp8,33.3,42.03,0.0319,0.0635,,
gemma4_31b_it__int4_awq,Gemma-4-31B-it,dense,int4_awq,20.5,63.85,0.0293,0.0579,,
gemma4_31b_it__nvfp4,Gemma-4-31B-it,dense,nvfp4,32.7,40.81,0.0587,0.0792,,
qwen3_6_35b_a3b__bf16,Qwen3.6-35B-A3B,moe,bf16,71.9,168.61,0.0747,0.7954,,
qwen3_6_35b_a3b__fp8,Qwen3.6-35B-A3B,moe,fp8,37.5,221.38,0.0822,0.5505,,
qwen3_6_35b_a3b__int4_awq,Qwen3.6-35B-A3B,moe,int4_awq,25.5,194.18,0.0745,0.6889,,
qwen3_6_35b_a3b__nvfp4,Qwen3.6-35B-A3B,moe,nvfp4,23.5,226.31,0.0978,0.5793,,
gemma4_26b_a4b_it__bf16,Gemma-4-26B-A4B-it,moe,bf16,51.6,151.71,0.0307,0.0506,,
gemma4_26b_a4b_it__fp8,Gemma-4-26B-A4B-it,moe,fp8,28.7,200.1,0.0338,0.0531,,
gemma4_26b_a4b_it__int4_awq,Gemma-4-26B-A4B-it,moe,int4_awq,17.2,222.0,0.0278,0.0474,,
gemma4_26b_a4b_it__nvfp4,Gemma-4-26B-A4B-it,moe,nvfp4,18.8,179.84,0.0312,0.0507,,
